# step, energy, mass, x-momentum, y-momentum, z-momentum 
282 4.6940810e+08 1.9055240e+03 1.7148338e+05 2.5885445e+04 0.0000000e+00
283 4.6695372e+08 1.8968306e+03 1.7046481e+05 2.5818427e+04 0.0000000e+00
284 4.6455250e+08 1.8883669e+03 1.6950836e+05 2.5772517e+04 0.0000000e+00
285 4.6214856e+08 1.8799689e+03 1.6846706e+05 2.5751022e+04 0.0000000e+00
286 4.5974017e+08 1.8715558e+03 1.6739329e+05 2.5719100e+04 0.0000000e+00
287 4.5734397e+08 1.8630712e+03 1.6632400e+05 2.5717652e+04 0.0000000e+00
288 4.5491170e+08 1.8545178e+03 1.6531926e+05 2.5721432e+04 0.0000000e+00
289 4.5243985e+08 1.8457874e+03 1.6421521e+05 2.5716103e+04 0.0000000e+00
290 4.4995620e+08 1.8368031e+03 1.6354643e+05 2.5706418e+04 0.0000000e+00
291 4.4751988e+08 1.8280811e+03 1.6267804e+05 2.5710176e+04 0.0000000e+00
292 4.4513744e+08 1.8195644e+03 1.6201975e+05 2.5703428e+04 0.0000000e+00
293 4.4256640e+08 1.8102760e+03 1.6106746e+05 2.5653962e+04 0.0000000e+00
